Reg;Type;Airline;Time;Date;Flight;From;Found;Source
N131DN;B763;DL;02:15;2007.01.01;DL1789;ATL-MCO;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N680DA;B752;DL;02:15;2007.01.01;DL0342;TPA-LAX;Houston;ACARS LOG 0000 20070101 to 2359 20070101
JA404A;B744;NH;02:15;2007.01.01;NH0909;NRT-HKG;Tokyo Japan http://ashman.dip.jp/ab/;ACARS LOG 0000 20070101 to 2359 20070101
RPC3227;A320;PR;02:16;2007.01.01;PR0407;KIX-MNL;Osaka Japan.;ACARS LOG 0000 20070101 to 2359 20070101
N681DA;B752;DL;02:16;2007.01.01;DL0278;MEX-JFK;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
A7-AEH;A330;QR;02:16;2007.01.01;QR0075;DOH-LGW;Sheffield 53.31N,1.35W 755ft ASL UK;ACARS LOG 0000 20070101 to 2359 20070101
JA8020;MD90-30;JL;02:16;2007.01.01;000000;;Sendai,Japan;ACARS LOG 0000 20070101 to 2359 20070101
VH-OJM;B744;QF;02:16;2007.01.01;QF0127;SYD-HKG;Sutherland NSW Australia;ACARS LOG 0000 20070101 to 2359 20070101
N205UW;B752;US;02:16;2007.01.01;US0854;TNCA-PHL-BOS;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N769AS;B734;AS;02:16;2007.01.01;AS0295;PVR-SFO-PDX;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N14118;B752;CO;02:16;2007.01.01;CO0016;LAX-EWR-EGPF;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N414UA;A320;UA;02:16;2007.01.01;UA1492;LAX-LAS;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N748UW;A319;US;02:16;2007.01.01;US1887;BOS-PHL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
JA8995;B734;JL;02:16;2007.01.01;JC3270;KMJ-NGO;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
JA8997;A320;NH;02:16;2007.01.01;NH0544;KOJ-ITM;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N109UW;A320;US;02:16;2007.01.01;US0736;SJU-CLT;Myrtle Beach SC USA;ACARS LOG 0000 20070101 to 2359 20070101
JA756A;B773;NH;02:16;2007.01.01;NH0019;HND-ITM;Tokyo Japan http://ashman.dip.jp/ab/;ACARS LOG 0000 20070101 to 2359 20070101
N246AY;B762;US;02:16;2007.01.01;US1706;CLT-PHL;Raleigh, NC,USA;ACARS LOG 0000 20070101 to 2359 20070101
N920AN;B738;AA;02:17;2007.01.01;AA2255;DCA-MIA;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
VH-TJE;B734;QF;02:17;2007.01.01;TN0762;PER-MEL;Perth, Western Australia;ACARS LOG 0000 20070101 to 2359 20070101
N903DE;MD88;DL;02:17;2007.01.01;DL0465;LGA-PBI;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
JA752A;B773;NH;02:17;2007.01.01;NH0000;;Narita-NRT-Japan;ACARS LOG 0000 20070101 to 2359 20070101
N618US;B742;NW;02:17;2007.01.01;NW0917;ORD-ANC-ZSPD;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N615AS;B737;AS;02:17;2007.01.01;AS0446;PDX-OAK-SNA;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
C-GUJA;CRJ2;QK;02:17;2007.01.01;QK8027;BOS-YYZ;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N9304C;MD83;AA;02:18;2007.01.01;AA1844;SAN-ORD;cambridge;ACARS LOG 0000 20070101 to 2359 20070101
N184JB;E190;JBU;02:18;2007.01.01;B61058;PIT-JFK;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
JA8980;B763;JL;02:18;2007.01.01;JL0609;NRT-XIY-;Tokyo Japan http://ashman.dip.jp/ab/;ACARS LOG 0000 20070101 to 2359 20070101
C-FDST;A320;AC;02:18;2007.01.01;AC0913;MCO-YYZ;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
C-GGFJ;B763;AC;02:18;2007.01.01;AC0796;LAX-YYZ;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
C-FDRP;A320;AC;02:18;2007.01.01;AC1235;RSW-YYZ;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N460UA;A320;UA;02:18;2007.01.01;UA1533;PBI-ORD;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N597JB;A320;JBU;02:18;2007.01.01;B60083;JFK-SEA;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N509NK;A319;NK;02:18;2007.01.01;NK0626;FLL-MCO;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
JA8392;A320;NH;02:18;2007.01.01;NH0747;;Tokyo Japan http://ashman.dip.jp/ab/;ACARS LOG 0000 20070101 to 2359 20070101
N815AW;A319;HP;02:18;2007.01.01;HP0237;DTW-PHX;cambridge;ACARS LOG 0000 20070101 to 2359 20070101
EC-HGV;A340;IB;02:18;2007.01.01;IB6819;BCN-MAD-GRU;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
JA007D;B772;JL;02:19;2007.01.01;000000;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N547UA;B752;UA;02:19;2007.01.01;UA0658;;cambridge;ACARS LOG 0000 20070101 to 2359 20070101
N506AE;CRJ7;MQ;02:19;2007.01.01;MQ4135;;cambridge;ACARS LOG 0000 20070101 to 2359 20070101
JA8938;B734;JTA;02:19;2007.01.01;JC2202;SDJ-ITM;Sendai,Japan;ACARS LOG 0000 20070101 to 2359 20070101
N169UW;A321;US;02:19;2007.01.01;US1199;PHL-PHX;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
G-CELZ;B733;LS;02:19;2007.01.01;LS0232;LEBL-EGNM;Sheffield 53.31N,1.35W 755ft ASL UK;ACARS LOG 0000 20070101 to 2359 20070101
N945DL;MD88;DL;02:19;2007.01.01;DL1651;ROC-ATL;Houston;ACARS LOG 0000 20070101 to 2359 20070101
N429AA;MD82;AA;02:19;2007.01.01;AA0878;DFW-EWR;Raleigh, NC,USA;ACARS LOG 0000 20070101 to 2359 20070101
JA714A;B772;NH;02:19;2007.01.01;NH0144;KIX-HND;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
ZK-SUJ;B744;NZ;02:19;2007.01.01;NZ0006;MEL-AKL-LAX;Melbourne, Australia;ACARS LOG 0000 20070101 to 2359 20070101
N428AW;CRJ2;ZW;02:19;2007.01.01;US3730;DAY-PHL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N191AN;B752;AA;02:19;2007.01.01;AA2489;DFW-LAX;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N502NK;A319;NK;02:20;2007.01.01;NK0382;MYR-LGA;Myrtle Beach SC USA;ACARS LOG 0000 20070101 to 2359 20070101
N841AE;E140;MQ;02:20;2007.01.01;MQ3167;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N181AN;B752;AA;02:20;2007.01.01;AA0194;SFO-BOS;cambridge;ACARS LOG 0000 20070101 to 2359 20070101
N432US;B734;US;02:20;2007.01.01;US1682;PHL-BDL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N372DA;B738;DL;02:20;2007.01.01;DL1027;MCO-BOS;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N8733G;CRJ4;FLG;02:20;2007.01.01;9E4787;BOS-IND;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N613JB;A320;JBU;02:21;2007.01.01;B60165;JFK-PDX;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N586FE;MD11 F;FX;02:21;2007.01.01;FX0079;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
JA8946;A320;NH;02:21;2007.01.01;NH0704;CTS-NGO;Sendai,Japan;ACARS LOG 0000 20070101 to 2359 20070101
JA010D;B772;JL;02:21;2007.01.01;JL1605;HND-HIJ;Tokyo Japan http://ashman.dip.jp/ab/;ACARS LOG 0000 20070101 to 2359 20070101
JA8385;A320;EL;02:21;2007.01.01;000000;;Osaka Japan.;ACARS LOG 0000 20070101 to 2359 20070101
HL7746;A333;OZ;02:21;2007.01.01;OZ1025;GMP-HND;Osaka Japan.;ACARS LOG 0000 20070101 to 2359 20070101
N533UA;B752;UA;02:21;2007.01.01;UA0148;SAN-ORD-PHL;cambridge;ACARS LOG 0000 20070101 to 2359 20070101
C-GBHM;A319;AC;02:21;2007.01.01;AC0265;YYZ-YWG;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
JA8965;B744;NH;02:21;2007.01.01;000000;;Sendai,Japan;ACARS LOG 0000 20070101 to 2359 20070101
N828MD;E170;RPA;02:21;2007.01.01;RW3447;BTV-DCA-CMH;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N12924;E145;BTA;02:21;2007.01.01;XE2204;IAH-LFT;Houston,Texas USA;ACARS LOG 0000 20070101 to 2359 20070101
N546US;B752;NW;02:22;2007.01.01;NW0024;RJGG-GUM;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N930DL;MD88;DL;02:22;2007.01.01;DL1207;BOS-ATL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
JA8969;B772;NH;02:22;2007.01.01;NH0753;HND-KMQ;Tokyo Japan http://ashman.dip.jp/ab/;ACARS LOG 0000 20070101 to 2359 20070101
PH-HZA;B738;HV;02:22;2007.01.01;HV0614;ADB-AMS;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
VH-VQK;A320;JST;02:22;2007.01.01;JQ0331;BNE-AVE;Melbourne, Australia;ACARS LOG 0000 20070101 to 2359 20070101
N325UA;B733;UA;02:22;2007.01.01;UA0698;DEN-IAH;Houston,Texas USA;ACARS LOG 0000 20070101 to 2359 20070101
HS-TJR;B772;TG;02:22;2007.01.01;TG0981;BKK-MEL;Melbourne, Australia;ACARS LOG 0000 20070101 to 2359 20070101
N954U;MD82;AA;02:22;2007.01.01;AA1768;ORD-PHL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N406US;B734;US;02:22;2007.01.01;US1717;BOS-PHL;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N442US;B734;US;02:23;2007.01.01;US1866;FLL-PHL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N960AN;B738;AA;02:23;2007.01.01;AA1601;YYZ-DFW;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
N18556;E145;BTA;02:23;2007.01.01;XE3220;EWR-CHS;Pensacola, FL;ACARS LOG 0000 20070101 to 2359 20070101
N548US;B752;NW;02:24;2007.01.01;NW0078;SPN-NGO-NRT;Osaka Japan.;ACARS LOG 0000 20070101 to 2359 20070101
N440US;B734;US;02:24;2007.01.01;US1470;;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
VH-OGB;B763;QF;02:24;2007.01.01;QF0019;;Sutherland NSW Australia;ACARS LOG 0000 20070101 to 2359 20070101
C-FTCA;B763;AC;02:24;2007.01.01;AC0846;YYZ-EDDM;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
VH-OGO;B763;QF;02:24;2007.01.01;QF0524;SYD-BNE;Sutherland NSW Australia;ACARS LOG 0000 20070101 to 2359 20070101
JA8965;B744;NH;02:24;2007.01.01;NH0059;HND-CTS;Sendai,Japan;ACARS LOG 0000 20070101 to 2359 20070101
N612FE;MD11F;FX;02:24;2007.01.01;FX0019;IND-ANC-RJBB;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N952DL;MD88;DL;02:24;2007.01.01;DL1672;FLL-LGA;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N915AW;B752;HP;02:25;2007.01.01;HP0371;ORD-PHX-SMF;cambridge;ACARS LOG 0000 20070101 to 2359 20070101
JA703J;B772;JL;02:25;2007.01.01;JL0791;NRT-PVG;Tokyo Japan SUB;ACARS LOG 0000 20070101 to 2359 20070101
N624AA;B752;AA;02:25;2007.01.01;AA2474;PHX-ORD;cambridge;ACARS LOG 0000 20070101 to 2359 20070101
N811UA;A319;UA;02:25;2007.01.01;UA0478;;cambridge;ACARS LOG 0000 20070101 to 2359 20070101
JA8971;B763;NH;02:25;2007.01.01;NH0693;HND-UBJ;Tokyo Japan http://ashman.dip.jp/ab/;ACARS LOG 0000 20070101 to 2359 20070101
B-HXB;A340;CX;02:25;2007.01.01;CX0828;HKG-ANC-YYZ;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
N937FR;A319;FFT;02:25;2007.01.01;F92380;DEN-FLL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
C-FEKS;E175;AC;02:25;2007.01.01;AC0525;YUL-ORD;cambridge;ACARS LOG 0000 20070101 to 2359 20070101
B-HNK;B773;CX;02:25;2007.01.01;000000;;Narita-NRT-Japan;ACARS LOG 0000 20070101 to 2359 20070101
N570UA;B752;UA;02:25;2007.01.01;UA0292;SFO-MCO;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N749US;A319;US;02:26;2007.01.01;US1069;PHL-RSW;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N8888D;CRJ2;FLG;02:26;2007.01.01;9E2976;MHT-MSP-ELP;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
VH-QPG;A330;QF;02:26;2007.01.01;QF0191;SYD-PEK;Sutherland NSW Australia;ACARS LOG 0000 20070101 to 2359 20070101
JA02MC;A320;;02:26;2007.01.01;7G0076;;Osaka Japan.;ACARS LOG 0000 20070101 to 2359 20070101
N830UA;A319;UA;02:26;2007.01.01;UA0248;PDX-IAD;Urbandale, IA;ACARS LOG 0000 20070101 to 2359 20070101
C-FFWN;A320;AC;02:26;2007.01.01;AC0159;YYZ-YEG;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
N444US;B734;US;02:26;2007.01.01;US0750;GCM-CLT-DTW;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N730KW;E135;MQ;02:26;2007.01.01;MQ4626;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N665AW;A320;HP;02:26;2007.01.01;HP0017;JFK-PHX;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N14249;B738;CO;02:27;2007.01.01;CO0000;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
C-GBHZ;A319;AC;02:27;2007.01.01;AC1813;PUJ-YWG;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N553JB;A320;JBU;02:27;2007.01.01;B60097;JFK-DEN;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
VH-VQZ;A320;JST;02:27;2007.01.01;JQ0251;OOL-MEL;Melbourne, Australia;ACARS LOG 0000 20070101 to 2359 20070101
JA8063;MD90-30;JL;02:27;2007.01.01;000000;;Sendai,Japan;ACARS LOG 0000 20070101 to 2359 20070101
N964AS;MD83;AS;02:28;2007.01.01;AS0409;LAX-PDX;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N771NC;DC9-51;NW;02:28;2007.01.01;NW0280;MEM-DTW-MBS;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N275AY;A333;US;02:28;2007.01.01;US1592;MCO-CLT-EDDF;Raleigh, NC,USA;ACARS LOG 0000 20070101 to 2359 20070101
N305AW;B733;HP;02:28;2007.01.01;HP0272;PHX-IAH;Houston,Texas USA;ACARS LOG 0000 20070101 to 2359 20070101
VH-VQW;A320;JST;02:28;2007.01.01;JQ0000;;Hobart,Tasmania,Australia;ACARS LOG 0000 20070101 to 2359 20070101
JA8956;B744;NH;02:28;2007.01.01;NH0054;CTS-HND;Narita-NRT-Japan;ACARS LOG 0000 20070101 to 2359 20070101
N498AA;MD82;AA;02:28;2007.01.01;AA0353;LGA-ORD;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N539UA;B752;UA;02:28;2007.01.01;UA0200;ORD-BDL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
JA8358;B763;NH;02:29;2007.01.01;NH0634;TAK-HND;Osaka Japan.;ACARS LOG 0000 20070101 to 2359 20070101
N706PS;CRJ7;JIA;02:29;2007.01.01;US2272;STL-CLT-AVL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N923DL;MD88;DL;02:29;2007.01.01;DL1831;PBI-BOS;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
RPC3227;A320;PR;02:29;2007.01.01;000000;;Osaka Japan.;ACARS LOG 0000 20070101 to 2359 20070101
N71411;B739;CO;02:29;2007.01.01;CO1888;IAH-JAX;Houston,Texas USA;ACARS LOG 0000 20070101 to 2359 20070101
JA8903;B744;JL;02:29;2007.01.01;JL1911;HND-OKA;Tokyo Japan http://ashman.dip.jp/ab/;ACARS LOG 0000 20070101 to 2359 20070101
JA705J;B772;JL;02:29;2007.01.01;JL0437;NGO-CDG;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N710TB;E135;MQ;02:30;2007.01.01;MQ4794;;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N517AU;B733;US;02:30;2007.01.01;US1593;FRA-CLT-MCO;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
JA8020;MD90-30;JL;02:30;2007.01.01;NDOOJL;;Sendai,Japan;ACARS LOG 0000 20070101 to 2359 20070101
N70401;MD82;AA;02:30;2007.01.01;AA1887;BOS-DFW;Boston, MA;ACARS LOG 0000 20070101 to 2359 20070101
JA8020;MD90-30;JL;02:30;2007.01.01;JL1224;MSJ-HND;Sendai,Japan;ACARS LOG 0000 20070101 to 2359 20070101
N214AA;MD82;AA;02:30;2007.01.01;AA1222;DAL-STL-LGA;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N944FR;A319;FFT;02:30;2007.01.01;F90706;DEN-RSW;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N590JB;A320;JBU;02:30;2007.01.01;B60806;FLL-JFK;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N954SW;CRJ2;OO;02:31;2007.01.01;OO6519;LAX-SJC-LAX;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
JA008D;B772;JL;02:31;2007.01.01;JL1867;HND-KOJ;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N840HK;E145;LOF;02:31;2007.01.01;AX8041;SYR-IAD;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
JA8983;B772;JL;02:31;2007.01.01;JL1513;HND-ITM;Narita-NRT-Japan;ACARS LOG 0000 20070101 to 2359 20070101
N481QS;GLF4;---;02:31;2007.01.01;GS0001;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N103US;A320;US;02:31;2007.01.01;US1864;RSW-CLT-MDT;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N967DL;MD88;DL;02:31;2007.01.01;DL1189;ATL-JAN;Houston;ACARS LOG 0000 20070101 to 2359 20070101
N916FR;A319;FFT;02:32;2007.01.01;F90510;DEN-LGA;Urbandale, IA;ACARS LOG 0000 20070101 to 2359 20070101
N970AN;B738;AA;02:32;2007.01.01;AA1932;MIA-YUL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
JA8392;A320;NH;02:32;2007.01.01;000000;;Sendai,Japan;ACARS LOG 0000 20070101 to 2359 20070101
N7537A;MD82;AA;02:32;2007.01.01;AA0405;MDW-DFW-TUS;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N589US;B733;US;02:32;2007.01.01;US1120;;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
B-6123;A330;MU;02:32;2007.01.01;MU0562;SYD-PVG;Sutherland NSW Australia;ACARS LOG 0000 20070101 to 2359 20070101
D-ALCR;MD11C;LH;02:32;2007.01.01;LH8204;EDDF-ATL;Sheffield 53.51N,1.60W 755ft ASL UK;ACARS LOG 0000 20070101 to 2359 20070101
VH-VXE;B738;QF;02:32;2007.01.01;QFA428;MEL-SYD;syd;ACARS LOG 0000 20070101 to 2359 20070101
C-GNJA;CRJ2;QK;02:32;2007.01.01;QK7694;YUL-IAD;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N981AS;MD83;AS;02:33;2007.01.01;AS0418;PDX-SJC;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N823MD;E170;RPA;02:33;2007.01.01;RW3319;PHL-IND;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
D-ABUC;B763;DE;02:33;2007.01.01;DE0234;EDDF-MDSD;Sheffield 53.51N,1.60W 755ft ASL UK;ACARS LOG 0000 20070101 to 2359 20070101
N698AN;B752;AA;02:33;2007.01.01;AA2188;MEX-MIA;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
JA8077;B744;JL;02:33;2007.01.01;JL0731;NRT-HKG;Tokyo Japan http://ashman.dip.jp/ab/;ACARS LOG 0000 20070101 to 2359 20070101
N183UW;A321;US;02:33;2007.01.01;US9161;CLT-ALB;Pensacola, FL;ACARS LOG 0000 20070101 to 2359 20070101
JA8911;B744;JL;02:33;2007.01.01;EG0201;NRT-TPE;Tokyo Japan http://ashman.dip.jp/ab/;ACARS LOG 0000 20070101 to 2359 20070101
D-AIGO;A340;LH;02:33;2007.01.01;LH0714;MUC-NRT;Narita-NRT-Japan;ACARS LOG 0000 20070101 to 2359 20070101
C-FTJS;A320;AC;02:33;2007.01.01;AC0143;YOW-YEG;North Bay, Ontario Canada;ACARS LOG 0000 20070101 to 2359 20070101
N80084;A300;AA;02:33;2007.01.01;AA0601;ORD-DEN;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N70353;B733;CO;02:34;2007.01.01;CO0415;IAH-DFW;Houston,Texas USA;ACARS LOG 0000 20070101 to 2359 20070101
JA8999;B734;JL;02:34;2007.01.01;JC2203;ITM-SDJ;Tokyo Japan SUB;ACARS LOG 0000 20070101 to 2359 20070101
N169AT;B737;FL;02:34;2007.01.01;FL0412;TPA-IND;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
JA8568;B763;NH;02:34;2007.01.01;NH0653;HND-OKJ;Tokyo Japan http://ashman.dip.jp/ab/;ACARS LOG 0000 20070101 to 2359 20070101
N915DL;MD88;DL;02:34;2007.01.01;DL1850;LGA-TPA;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
B-18310;A330;CA;02:34;2007.01.01;CI0151;NGO-TPE;Osaka Japan.;ACARS LOG 0000 20070101 to 2359 20070101
9H-AEF;A320;KM;02:34;2007.01.01;KM3906;EDFH-EGBB;acarsd.org home - Hungary appr. 150km from BUD;ACARS LOG 0000 20070101 to 2359 20070101
N705PS;CRJ7;JIA;02:34;2007.01.01;US2227;ALB-CLT;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
JA8654;A320;NH;02:34;2007.01.01;NH0837;HND-SHB;Narita-NRT-Japan;ACARS LOG 0000 20070101 to 2359 20070101
N430US;B734;US;02:34;2007.01.01;US0750;GCM-CLT-IAD;Raleigh, NC,USA;ACARS LOG 0000 20070101 to 2359 20070101
JA701J;B772;JL;02:34;2007.01.01;JL0951;;Tokyo Japan http://ashman.dip.jp/ab/;ACARS LOG 0000 20070101 to 2359 20070101
N185UW;A321;US;02:35;2007.01.01;US1917;LGA-CLT;Raleigh, NC,USA;ACARS LOG 0000 20070101 to 2359 20070101
VH-OGU;B763;QF;02:35;2007.01.01;QF0430;MEL-SYD;Melbourne, Australia;ACARS LOG 0000 20070101 to 2359 20070101
B-18806;A340;CA;02:35;2007.01.01;CI0052;SYD-TPE;Sutherland NSW Australia;ACARS LOG 0000 20070101 to 2359 20070101
N119US;A320;US;02:35;2007.01.01;US1584;SAN-PHX-PIT;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
VH-TJF;B734;QF;02:35;2007.01.01;TN0429;SYD-MEL;Melbourne, Australia;ACARS LOG 0000 20070101 to 2359 20070101
VH-TJY;B734;QF;02:35;2007.01.01;TN0521;;syd;ACARS LOG 0000 20070101 to 2359 20070101
N7522A;MD82;AA;02:35;2007.01.01;AA1956;ORD-YYZ;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
N108QS;HS125;---;02:35;2007.01.01;GS0001;DROP-PING;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N463AA;MD82;AA;02:36;2007.01.01;AA2009;;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N361NB;A319;NW;02:36;2007.01.01;NW0481;TPA-DTW-GRB;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N906AT;B712;FL;02:36;2007.01.01;FL0708;MCO-DAY;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
JA01MC;A320;;02:37;2007.01.01;7G0077;;Narita-NRT-Japan;ACARS LOG 0000 20070101 to 2359 20070101
C-GMON;DH83;QK;02:37;2007.01.01;QK7796;YAM-YYZ;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
JA8558;A300;JL;02:37;2007.01.01;JL1203;HND-AOJ;Sendai,Japan;ACARS LOG 0000 20070101 to 2359 20070101
JA8385;A320;EL;02:37;2007.01.01;NH0423;ITM-FUK;Osaka Japan.;ACARS LOG 0000 20070101 to 2359 20070101
N520JB;A320;JBU;02:37;2007.01.01;B60005;BUF-JFK;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
D-ALCR;MD11C;LH;02:37;2007.01.01;GEC8204;EDDF-ATL;Leeds;ACARS LOG 0000 20070101 to 2359 20070101
JA8968;B772;NH;02:37;2007.01.01;NH0248;FUK-HND;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N716UW;A319;US;02:37;2007.01.01;US1861;ORD-CLT-MYR;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N612JB;A320;JBU;02:37;2007.01.01;B60858;RSW-JFK;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
C-FCAF;B763;AC;02:38;2007.01.01;AC0148;YVR-YYZ;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
C-GJWI;A321;AC;02:38;2007.01.01;AC0467;YOW-YYZ;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
VH-QPC;A330;QF;02:38;2007.01.01;QF0000;;Sutherland NSW Australia;ACARS LOG 0000 20070101 to 2359 20070101
JA8911;B744;JL;02:38;2007.01.01;JL0201;;Tokyo Japan http://ashman.dip.jp/ab/;ACARS LOG 0000 20070101 to 2359 20070101
N634JB;A320;B6;02:38;2007.01.01;B60212;LGB-JFK;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N622DL;B752;DL;02:38;2007.01.01;DL1710;FLL-JFK;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N816MA;E170;RW;02:38;2007.01.01;RW3395;ALB-PHL-CHS;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N766US;A319;US;02:38;2007.01.01;US1776;ORF-PHL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N768AA;B777;AA;02:38;2007.01.01;AA0000;;Boston, MA;ACARS LOG 0000 20070101 to 2359 20070101
N821AY;CRJ2;FLG;02:38;2007.01.01;9E5757;OKC-MEM-GRR;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N608JB;A320;JBU;02:38;2007.01.01;B60859;JFK-RSW;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N1501P;B763;DL;02:38;2007.01.01;DL0061;ATL-GIG;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N934AT;B712;FL;02:39;2007.01.01;FL0638;EWR-MDW-MSP;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
