SBS-1 Log from KAMPENHOUT for 08/03/2015. Times are LOCAL.
Author skystef
Created by Active Display Lite v1.64.0.30

Code   CallSign Reg      ICAO FAlt  LAlt  Date/Time (dd/mm/yyyy)
4844E8 KLM582   PH-AOI   A332 40000 10225 08/03/2015 04:02:25
300189 NOS8240  I-NEOT   B738 38000 38000 08/03/2015 04:02:47
3C5EE4 GWI574   D-AGWD   A319 24650 39000 08/03/2015 04:07:14
06A081 QTR8922  A7-BFC   B77L 38000 31700 08/03/2015 04:07:25
3C5CAC GMI3662  D-AGEL   B737 36725 37000 08/03/2015 04:08:36
3C70C3 GEC8187  D-ALFC   B77L 35000 29300 08/03/2015 04:11:42
3C0C9E TUI89C   D-ATUF   B738 36000 37000 08/03/2015 04:12:41
484F2E CND713   PH-CDE   B738 8275  31975 08/03/2015 04:14:58
04008B -------- ET-ARI   B77F 34000 33975 08/03/2015 04:17:34
44E228 TEST1234 OO-XQH   ---- ----- ----- 08/03/2015 04:17:45
AAC136 UAL981   N792UA   B772 36000 36000 08/03/2015 04:19:49
3C09EF GMI3002  D-ASTU   A319 31775 37025 08/03/2015 04:20:08
44CDC1 BEL3292  OO-SNA   A320 22450 -125  08/03/2015 04:21:19
3949EF AFR107   F-GSPP   B772 31000 25700 08/03/2015 04:21:23
3C49A5 BER377D  D-ABME   B738 25050 37000 08/03/2015 04:21:32
400E5B EZS9019  G-EZAY   A319 32375 32150 08/03/2015 04:21:41
44D262 TAY012   OO-TSB   B77L 8950  29975 08/03/2015 04:23:56
AA5CB6 OAE703   N767NA   B763 32025 32025 08/03/2015 04:24:00
3949F4 AFR293   F-GSPU   B772 37975 29150 08/03/2015 04:28:23
846DEF NCA085   JA15KZ   B748 22000 8050  08/03/2015 04:32:58
3C6508 DLH401   D-AIHH   A346 39000 24250 08/03/2015 04:33:18
484443 KLM442   PH-AOD   A332 22775 19125 08/03/2015 04:33:51
39BD27 -------- F-HPJH   A388 29000 29000 08/03/2015 04:37:06
484001 -------- PH-BFB   B744 24900 21250 08/03/2015 04:37:09
780443 CHH7907  B-6116   A332 40000 25050 08/03/2015 04:37:24
A8A110 UAL944   N655UA   B763 35000 34975 08/03/2015 04:38:17
3965A3 AFR111   F-GZND   B77W 38000 26850 08/03/2015 04:41:53
780C01 CES553   B-5943   A332 38000 26725 08/03/2015 04:42:22
400F63 VIR201   G-VWEB   A346 38000 25425 08/03/2015 04:43:14
A2DCEE AWE700   N284AY   A332 40000 23650 08/03/2015 04:45:46
AB5975 DAL132   N830MH   B764 17975 16325 08/03/2015 04:47:54
406B22 BAW26    G-XLEI   A388 38000 31575 08/03/2015 04:49:40
485009 TRA553   PH-HSI   B738 11825 28400 08/03/2015 04:53:45
4007F3 BAW28    G-YMMH   B772 40000 32700 08/03/2015 04:55:58
394A09 AFR3831  F-GSQJ   B77W 30525 25250 08/03/2015 04:56:21
484F73 KLM588   PH-AKD   A333 39575 10900 08/03/2015 04:58:43
44CCD6 BEL204   OO-SFV   A333 19225 0     08/03/2015 05:04:36
406947 BAW16    G-STBG   B77W 36000 36000 08/03/2015 05:04:57
484445 KLM624   PH-AOF   A332 19400 15050 08/03/2015 05:06:40
780213 CPA251   B-KPG    B77W 36000 32025 08/03/2015 05:08:22
AAF5B1 -------- N805NW   A333 ----- ----- 08/03/2015 05:10:01
40073E BAW12    G-BYGF   B744 38000 32525 08/03/2015 05:13:31
484F71 KLM590   PH-AKA   A333 32100 9925  08/03/2015 05:14:29
C0584F ACA874   C-GHLM   A333 39000 23950 08/03/2015 05:17:24
A57AD0 PAC963   N452PA   B744 40000 39975 08/03/2015 05:18:42
780747 CSN347   B-6531   A332 38000 26850 08/03/2015 05:18:57
C01725 ACA872   C-FITW   B77W 37000 37000 08/03/2015 05:20:41
3949EE AFR225   F-GSPO   B772 31300 29175 08/03/2015 05:20:49
780212 CPA261   B-KPF    B77W 38000 25975 08/03/2015 05:21:24
AB5365 DAL130   N829MH   B764 34975 35000 08/03/2015 05:23:46
40040A -------- G-BNLK   B744 35925 34875 08/03/2015 05:24:28
48440F KLM562   PH-AOA   A332 35475 18675 08/03/2015 05:27:47
3C64F6 DLH409   D-AIGV   A343 39000 18800 08/03/2015 05:29:18
48414F TRA231   PH-HZK   B738 9375  34375 08/03/2015 05:30:03
484444 KLM415   PH-AOE   A332 21200 18575 08/03/2015 05:30:50
484411 -------- PH-AOC   A332 22325 21675 08/03/2015 05:33:57
888013 HVN11    VN-A142  B772 31125 28675 08/03/2015 05:34:15
