SBS-1 Log from KAMPENHOUT for 17/01/2015. Times are LOCAL.
Author skystef
Created by Active Display Lite v1.64.0.30

Code   CallSign Reg      ICAO FAlt  LAlt  Date/Time (dd/mm/yyyy)
3949F3 AFR274   F-GSPT   B772 29875 32600 17/01/2015 00:00:00
896184 UAE6     A6-EEE   A388 31650 34450 17/01/2015 00:00:21
45AA8C TAY014F  OY-JTL   B734 33000 33000 17/01/2015 00:01:04
3965A2 -------- F-GZNC   B77W 31000 31000 17/01/2015 00:01:14
780205 -------- B-KPE    B77W 31000 31000 17/01/2015 00:02:23
896184 UAE6     A6-EEE   A388 35000 35000 17/01/2015 00:16:50
4CC0DC TAY031W  TF-BBH   B734 22175 4850  17/01/2015 00:16:50
47340C WZZ457   HA-LPL   A320 35000 34975 17/01/2015 00:16:52
45AA8C TAY014F  OY-JTL   B734 17175 8675  17/01/2015 00:16:53
3C542C BCS2106  D-AEAL   A306 33000 33000 17/01/2015 00:16:54
4B8E02 PGT478   TC-CPB   B738 22000 25375 17/01/2015 00:16:55
010143 MSR780   SU-GDS   A333 39000 38975 17/01/2015 00:16:56
451CC1 LZB408   LZ-PLO   E190 24825 32050 17/01/2015 00:16:58
152C97 VDA4472  RA-76951 IL76 29000 29000 17/01/2015 00:16:58
A39F0D UPS235   N332UP   B763 28150 20700 17/01/2015 00:16:59
485061 TRA5754  PH-HSJ   B738 21225 12375 17/01/2015 00:17:00
4841A9 TRA535N  PH-HZW   B738 25350 12200 17/01/2015 00:17:01
45CE46 SRR6565  OY-SRF   B762 37000 21125 17/01/2015 00:17:02
A9F2A0 ABX28S   N740AX   B762 23000 6875  17/01/2015 00:17:04
405F33 DHK1521  G-DHLG   B763 11500 34950 17/01/2015 00:17:04
780B13 CSN304   B-2735   B788 32975 33000 17/01/2015 00:17:05
A382B3 UPS257   N325UP   B763 35525 22950 17/01/2015 00:17:07
4BA8CF -------- TC-JFO   B738 27125 28550 17/01/2015 00:17:24
406814 VIR300K  G-VGEM   A333 27125 33000 17/01/2015 00:17:41
34130D -------- EC-ELT   B462 10500 10500 17/01/2015 00:18:12
4CAA7B AZA164   EI-RDL   E170 13975 225   17/01/2015 00:25:00
4CA688 SDM6960  EI-DZH   B763 36000 37000 17/01/2015 00:25:38
44A82F JAF6AE   OO-JAO   B737 575   6000  17/01/2015 00:27:36
AA017C SRR6977  N744AX   B762 34975 19025 17/01/2015 00:34:59
400584 -------- G-BIKC   B752 34525 35000 17/01/2015 00:35:36
4BB467 -------- TC-MCG   A306 30000 30000 17/01/2015 00:38:48
44A8A2 JAF1TX   OO-JEB   E190 15300 325   17/01/2015 00:39:24
405F31 DHK2518  G-DHLF   B763 34975 35000 17/01/2015 00:40:19
44D1CF TAY101Y  OO-TNO   B734 20300 6175  17/01/2015 00:42:47
400658 BCS1562  G-BIKM   B752 675   19125 17/01/2015 00:43:30
4008F3 NPT1897  G-BUUP   ATP  900   16000 17/01/2015 00:45:32
3C70AB BCS1334  D-ALEK   B752 350   27475 17/01/2015 00:47:47
406B88 TAY835W  G-JMCR   B734 24000 7325  17/01/2015 00:49:19
40665E -------- G-TAWC   B738 ----- ----- 17/01/2015 00:49:46
471F59 WZZ6RM   HA-LWR   A320 35550 36975 17/01/2015 00:56:02
4B8E01 PGT52CW  TC-CPA   B738 29075 37000 17/01/2015 00:58:28
4CA24C RYR26PZ  EI-DCZ   B738 38000 34075 17/01/2015 01:00:24
44D071 TCW509E  OO-TCQ   A320 19850 125   17/01/2015 01:04:48
3C5432 BCS2476  D-AEAR   A306 23000 300   17/01/2015 01:05:50
504DD9 MLD834   ER-AXP   A320 29825 36975 17/01/2015 01:05:51
400DAE -------- G-EZAJ   A319 32000 31925 17/01/2015 01:07:07
3C542F BCS2272  D-AEAO   A306 35000 34975 17/01/2015 01:15:25
06A140 QTR8175  A7-BFG   B77L 20475 5100  17/01/2015 01:16:32
440760 TAY247B  OE-IBW   B734 19100 6925  17/01/2015 01:18:36
4CAA6C BCS7101  EI-STB   B734 12400 425   17/01/2015 01:21:29
06A080 QTR8928  A7-BFB   B77L 30975 31000 17/01/2015 01:21:41
44A832 JAF5538  OO-JAR   B737 20000 500   17/01/2015 01:36:54
3C5434 -------- D-AEAT   A306 ----- ----- 17/01/2015 01:46:02
5082F1 WRC7502  UR-WRQ   A332 39000 39000 17/01/2015 01:47:18
43E88A MGLOB    M-GLOB   GLEX 31775 39000 17/01/2015 01:51:02
06A0DF QTR8272  A7-BFF   B77L 18675 19450 17/01/2015 01:55:24
4CA570 RYR36E   EI-DWK   B738 34875 16750 17/01/2015 01:59:19
40065A BCS2348  G-BIKO   B752 35000 35000 17/01/2015 02:08:25
504D51 MLD832   ER-AXV   A320 34975 34975 17/01/2015 02:11:10
4CA244 -------- EI-DCN   B738 37000 37000 17/01/2015 02:13:04
A8DD8B DAL8956  N670US   B744 39050 22075 17/01/2015 02:21:17
A2E615 UPS214   N286UP   MD11 22475 30000 17/01/2015 02:30:01
896215 UAE26    A6-EGT   B77W 33000 33000 17/01/2015 02:33:40
4007F9 BAW163   G-YMMN   B772 33575 37000 17/01/2015 02:47:49
A2DCEE AWE797   N284AY   A332 37000 38000 17/01/2015 02:53:04
4841D9 TRA202   PH-XRX   B737 40000 12225 17/01/2015 02:57:25
3C0C9E TUI7YB   D-ATUF   B738 35000 35000 17/01/2015 03:02:06
40676F TAY834V  G-JMCM   B733 9750  28000 17/01/2015 03:29:12
4BB467 MNB552   TC-MCG   A306 ----- ----- 17/01/2015 03:31:16
3E189A DIANA    D-IANA   BE20 22600 400   17/01/2015 03:36:36
3C5431 BCS6602  D-AEAQ   A306 34000 33975 17/01/2015 03:47:06
A33B23 UPS208   N307UP   B763 22325 28000 17/01/2015 03:49:42
7809A5 CCA907   B-5918   A332 39000 39000 17/01/2015 03:54:47
3C4ACC DLH423   D-ABVL   B744 39000 29325 17/01/2015 04:12:37
A8886D UAL944   N649UA   B763 37000 35925 17/01/2015 04:13:58
405F31 DHK6520  G-DHLF   B763 8450  225   17/01/2015 04:15:09
AA6BC0 UAL84    N77022   B772 37000 36975 17/01/2015 04:15:11
76CCCD SQC7971  9V-SFM   B744 325   21050 17/01/2015 04:16:04
440575 TAY078W  OE-IAP   B734 17500 23000 17/01/2015 04:16:08
484056 KLM566   PH-BFN   B744 33900 20575 17/01/2015 04:18:25
3C0CA5 TUI2TC   D-ATUM   B738 35000 35000 17/01/2015 04:19:19
3949F5 AFR293   F-GSPV   B772 37975 25250 17/01/2015 04:20:43
3C5433 BCS6469  D-AEAS   A306 34975 35000 17/01/2015 04:23:08
4BD148 CAI020   TC-TJH   B738 12150 23300 17/01/2015 04:24:36
3C09EF GMI3002  D-ASTU   A319 33300 37025 17/01/2015 04:24:46
45CE46 SRR6978  OY-SRF   B762 23675 36000 17/01/2015 04:26:05
3C650C DLH401   D-AIHL   A346 36975 23975 17/01/2015 04:27:26
3CECF6 EXT112   D-CRAS   SH36 11000 10900 17/01/2015 04:29:10
394A0B AFR381   F-GSQL   B77W 35975 25975 17/01/2015 04:30:25
800582 AIC144   VT-ALS   B77W 33000 33000 17/01/2015 04:31:09
44CCD9 BEL1247  OO-SFY   A332 8175  375   17/01/2015 04:33:43
34415A TAY037B  EC-LOF   B463 9000  20200 17/01/2015 04:35:59
