SBS-1 Log from KAMPENHOUT for 17/01/2015. Times are LOCAL.
Author skystef
Created by Active Display Lite v1.64.0.30

Code   CallSign Reg      ICAO FAlt  LAlt  Date/Time (dd/mm/yyyy)
3C5427 BCS6422  D-AEAG   A306 33975 33975 17/01/2015 04:36:23
A3BF1E UPS218   N340UP   B763 24025 24000 17/01/2015 04:37:54
44D1D1 TAY012G  OO-TNQ   B734 10775 34000 17/01/2015 04:39:34
A2FCFF AWE700   N292AY   A332 41000 36200 17/01/2015 04:43:18
3C0C9B TUI11H   D-ATUC   B738 23375 35000 17/01/2015 04:45:44
AE4A81 SAM040   09-0525  GLF5 41000 41000 17/01/2015 04:46:25
484F73 KLM590   PH-AKD   A333 36000 10875 17/01/2015 04:47:08
400665 BCS6597  G-BMRC   B752 36025 36000 17/01/2015 04:47:11
406A05 BAW26    G-XLEF   A388 40000 33725 17/01/2015 04:47:57
3C7069 GEC8227  D-ALCI   MD11 35950 33000 17/01/2015 04:50:00
406A35 BAW16    G-STBJ   B77W 36000 33700 17/01/2015 04:55:33
44CCD7 BEL204   OO-SFW   A333 16900 300   17/01/2015 04:56:12
A411D3 UPS210   N361UP   B763 22450 32025 17/01/2015 04:56:17
44D1D0 TAY934E  OO-TNP   B734 5975  375   17/01/2015 04:57:18
3C4AA2 CFG237   D-ABUB   B763 37025 37000 17/01/2015 04:58:20
780B33 CES773   B-5930   A332 36000 24475 17/01/2015 04:58:25
3C49A6 BER243Y  D-ABMF   B738 23750 35000 17/01/2015 04:58:35
3949EC AFR107   F-GSPM   B772 37875 29900 17/01/2015 04:59:10
4844E6 KLM536   PH-AOH   A332 38000 10850 17/01/2015 05:00:29
44D024 TAY025N  OO-TAD   B463 11700 28100 17/01/2015 05:01:10
04008A ETH3724  ET-ARH   B77F 12975 325   17/01/2015 05:06:18
3C5424 BCS6156  D-AEAD   A306 5900  350   17/01/2015 05:06:45
484D10 TFL364   PH-OYI   B763 13800 13725 17/01/2015 05:08:37
780463 CHH491   B-6089   A332 39975 150   17/01/2015 05:08:58
4CA244 RYR7673  EI-DCN   B738 38000 38000 17/01/2015 05:10:51
400E75 VIR201   G-VYOU   A346 39000 34475 17/01/2015 05:12:31
C058C0 ACA84    C-GHPV   B788 41000 41000 17/01/2015 05:14:43
780D22 CES553   B-5961   A332 40000 31000 17/01/2015 05:14:46
748019 -------- OD-MEB   A332 28025 25775 17/01/2015 05:15:19
44D261 TAY010   OO-TSA   B77L 9150  31650 17/01/2015 05:16:03
484B28 TFL111   PH-TFC   B738 11550 35000 17/01/2015 05:17:07
AE1467 RCH121   07-7169  C17  35000 28000 17/01/2015 05:17:45
C051E2 ACA874   C-GFAF   A333 40000 31625 17/01/2015 05:19:15
3965A1 AFR185   F-GZNB   B77W 30975 29225 17/01/2015 05:21:10
3C49AB BER836M  D-ABMK   B738 36625 37000 17/01/2015 05:22:14
394A05 -------- F-GSQF   B77W 32425 31325 17/01/2015 05:22:15
3C4B04 BER7383  D-ABXD   A332 38000 19950 17/01/2015 05:25:18
484F71 KLM588   PH-AKA   A333 35700 11725 17/01/2015 05:26:21
48414F TRA91P   PH-HZK   B738 10150 36950 17/01/2015 05:27:52
3C64F4 DLH409   D-AIGT   A343 34425 14050 17/01/2015 05:27:54
44CCD6 BEL256   OO-SFV   A333 7675  450   17/01/2015 05:29:24
3C0A4A SXD84B   D-ASXH   B738 35000 35025 17/01/2015 05:29:56
406A03 BAW12    G-XLED   A388 38000 33950 17/01/2015 05:30:33
A92DDF UAL106   N69059   B764 36975 37000 17/01/2015 05:31:49
3949E3 -------- F-GSPD   B772 ----- ----- 17/01/2015 05:32:18
39BD24 AFR111   F-HPJE   A388 38000 31000 17/01/2015 05:32:30
4845AC -------- PH-AOL   A332 ----- ----- 17/01/2015 05:33:41
44A88C JAF504   OO-JDL   B788 25025 0     17/01/2015 05:33:59
780A89 CPA251   B-KQU    B77W 38000 33850 17/01/2015 05:34:50
40621C BAW28    G-STBB   B77W 36000 33575 17/01/2015 05:34:58
C02CF1 ACA872   C-FRAM   B77W 37000 25325 17/01/2015 05:35:56
894070 -------- A9C-AO   A320 30550 28925 17/01/2015 05:37:50
48436A KLM420   PH-BQC   B772 22900 22425 17/01/2015 05:38:31
AA9249 UAL989   N780UA   B772 38000 30550 17/01/2015 05:39:54
4841A9 TRA455   PH-HZW   B738 9450  35000 17/01/2015 05:41:20
3C656B DLH443   D-AIKK   A333 37000 34000 17/01/2015 05:45:32
AE080F RCH101   99-0169  C17  35000 28900 17/01/2015 05:48:12
3C720A BER7211  D-ALPJ   A332 39000 39000 17/01/2015 05:50:22
3C4AA6 CFG263   D-ABUF   B763 36000 31625 17/01/2015 05:51:25
44A839 JAF9502  OO-JAY   B738 9625  250   17/01/2015 05:51:31
8990D8 EVA87    B-16709  B77W 38000 25875 17/01/2015 05:52:49
78030E CSN347   B-6542   A332 40000 25275 17/01/2015 05:55:53
780783 CCA833   B-6533   A332 35050 25100 17/01/2015 05:57:30
3C5CB1 GMI8422  D-AGEQ   B737 37025 37025 17/01/2015 05:57:46
75028E MAS2     9M-MNA   A388 38000 33675 17/01/2015 05:58:25
76CD69 SIA322   9V-SKI   A388 39000 36400 17/01/2015 05:58:45
3C5432 BCS380   D-AEAR   A306 750   30075 17/01/2015 05:58:49
A0A8DE UAL70    N14106   B752 23000 10000 17/01/2015 06:00:56
40058A BAW124   G-ZZZA   B772 40000 35650 17/01/2015 06:03:36
44A832 JAF79W   OO-JAR   B737 350   21200 17/01/2015 06:04:18
06A1A2 QTR8461  A7-AFG   A332 6000  425   17/01/2015 06:04:32
3C4B03 BER7447  D-ABXC   A332 39000 16800 17/01/2015 06:04:37
400615 BAW106   G-CIVM   B744 38000 30750 17/01/2015 06:05:39
3C7202 BER7001  D-ALPB   A332 38000 14450 17/01/2015 06:06:15
4841A4 KLM1720  PH-KZN   F70  275   7400  17/01/2015 06:06:37
484415 -------- PH-BQL   B772 15450 15250 17/01/2015 06:06:41
44A826 JAF8LB   OO-JAF   B738 525   20550 17/01/2015 06:08:29
44A82F JAF8GL   OO-JAO   B737 10800 8000  17/01/2015 06:09:01
AB80F4 DAL130   N840MH   B764 34975 35000 17/01/2015 06:09:42
4CAA6C BCS1287  EI-STB   B734 1125  29425 17/01/2015 06:10:23
89505B RBA97    V8-DLD   B788 43000 32400 17/01/2015 06:12:25
3E189A DIANA    D-IANA   BE20 600   27100 17/01/2015 06:13:25
44A8A2 JAF72J   OO-JEB   E190 325   22450 17/01/2015 06:14:49
484057 -------- PH-BFO   B744 20050 19200 17/01/2015 06:14:50
3C0A52 SXD36B   D-ASXP   B738 24100 35000 17/01/2015 06:16:03
3C0CA1 TUI2B    D-ATUI   B738 23175 35000 17/01/2015 06:19:01
3C4AA9 CFG233   D-ABUI   B763 36000 32625 17/01/2015 06:19:05
AE54C7 RCH201   -------- ---- 27025 27050 17/01/2015 06:20:10
C05858 ACA810   C-GHLV   B763 35000 35000 17/01/2015 06:20:35
AB649A DAL14    N833MH   B764 33000 26050 17/01/2015 06:21:08
405F31 DHK081   G-DHLF   B763 550   22400 17/01/2015 06:21:52
4840D6 KLM36L   PH-KZD   F70  22000 6650  17/01/2015 06:22:27
06A0B2 QTR195   A7-BCN   B788 10950 0     17/01/2015 06:23:10
7C4925 QFA1     VH-OQF   A388 38000 33300 17/01/2015 06:23:28
AAD780 UAL950   N798UA   B772 31275 0     17/01/2015 06:23:52
3C7206 BER7249  D-ALPF   A332 39000 39000 17/01/2015 06:24:09
4951C7 TAP611A  CS-TNG   A320 575   21900 17/01/2015 06:24:13
880041 THA910   HS-TGZ   B744 38000 37275 17/01/2015 06:24:48
4D00C3 -------- LX-LGS   B737 28300 31850 17/01/2015 06:25:21
78023E CPA261   B-KPR    B77W 36000 30125 17/01/2015 06:25:21
3C49B0 BER621A  D-ABMP   B738 25375 35000 17/01/2015 06:26:13
89611B UAE11    A6-ECT   B77W 34000 34000 17/01/2015 06:27:00
3C4AD5 DLH403   D-ABVU   B744 40000 29225 17/01/2015 06:27:11
89402B GFA007   A9C-KC   A332 40000 29550 17/01/2015 06:27:23
3C64F9 DLH445   D-AIGY   A343 39000 25625 17/01/2015 06:29:27
3C4B02 BER7451  D-ABXB   A332 39000 15525 17/01/2015 06:29:31
484AD0 TFL759   PH-TFB   B738 12450 30975 17/01/2015 06:30:18
3C6508 DLH427   D-AIHH   A346 38975 26150 17/01/2015 06:31:15
48404E KLM785   PH-BFL   B744 14975 13750 17/01/2015 06:32:19
75008A -------- 9M-MRJ   B772 ----- ----- 17/01/2015 06:32:32
3C6465 CFG5TV   D-AICE   A320 21075 31125 17/01/2015 06:33:37
3C65AB DLH463   D-AIMK   A388 40000 27025 17/01/2015 06:33:48
88516D THA934   HS-TKM   B77W 12175 275   17/01/2015 06:33:55
484F01 TFL456   PH-TFD   B738 30200 8350  17/01/2015 06:34:00
44CE77 BEL2GV   OO-SSW   A319 575   19775 17/01/2015 06:34:20
495286 TAP567D  CS-TTF   A319 38000 39000 17/01/2015 06:35:23
44001E AUA94    OE-LAY   B763 37000 37000 17/01/2015 06:35:38
4CA96D RYR93FQ  EI-ESN   B738 1350  30725 17/01/2015 06:36:10
00B205 -------- ZS-SXW   A332 36125 35950 17/01/2015 06:36:18
780A15 CPA255   B-KPT    B77W 38000 28825 17/01/2015 06:36:49
AE4D66 RCH392   10-0213  C17  28400 30000 17/01/2015 06:38:23
440C87 AUA90    OE-LAT   B763 37000 37000 17/01/2015 06:38:30
800720 JAI229   VT-JWT   A333 18650 0     17/01/2015 06:38:43
A11FC7 -------- N17139   B752 36025 36025 17/01/2015 06:38:49
3964EB TVF6RL   F-GZHL   B738 35475 37000 17/01/2015 06:39:13
8852A2 -------- HS-TUB   A388 29475 28475 17/01/2015 06:39:14
4CA808 RYR753   EI-EKI   B738 32325 27575 17/01/2015 06:39:22
896171 UAE9747  A6-EFK   B77L 33675 7800  17/01/2015 06:39:24
3C612D GMI4570  D-AHIM   A319 38400 39025 17/01/2015 06:40:50
3C09EE GMI3246  D-ASTT   A319 34000 34975 17/01/2015 06:40:53
4CA740 RYR4522  EI-EBY   B738 15675 24475 17/01/2015 06:41:33
AB84AB DAL86    N841MH   B764 35975 36000 17/01/2015 06:41:46
44CCD5 BEL453   OO-SFU   A332 4400  0     17/01/2015 06:42:36
A88EDE N650XY   N650XY   GLF6 45000 44975 17/01/2015 06:43:19
44D073 TCW646C  OO-TCS   A319 325   11750 17/01/2015 06:43:33
80071F JAI227   VT-JWS   A333 22400 0     17/01/2015 06:45:21
3C7204 BER7413  D-ALPD   A332 40000 15325 17/01/2015 06:45:36
44D071 TCW508C  OO-TCQ   A320 675   6250  17/01/2015 06:46:27
3E4981 DITAN    D-ITAN   C525 32000 7725  17/01/2015 06:46:33
4065DE BAW138   G-STBF   B77W 36000 34300 17/01/2015 06:47:03
A2D937 AWE716   N283AY   A332 40000 40000 17/01/2015 06:47:17
4CA2DA -------- EI-DLN   B738 ----- ----- 17/01/2015 06:48:12
485085 -------- PH-EXC   E190 24450 24450 17/01/2015 06:48:18
3C4B21 DLH419   D-ABYA   B748 36975 33675 17/01/2015 06:48:53
471F50 WZZ781   HA-LWI   A320 35975 25725 17/01/2015 06:49:15
495281 TAP539G  CS-TTA   A319 38025 38975 17/01/2015 06:49:19
4CA569 RYR75H   EI-DWD   B738 1050  14425 17/01/2015 06:49:48
4CA1BA RYR887X  EI-DAI   B738 26975 36975 17/01/2015 06:49:54
44CCCE BEL352   OO-SFN   A333 25850 0     17/01/2015 06:50:20
896327 ETD45    A6-ETJ   B77W 36000 36000 17/01/2015 06:51:01
44C1E7 G11      G11      EXPL 400   300   17/01/2015 06:51:07
8961A5 ETD15    A6-EYP   A332 40000 40000 17/01/2015 06:51:53
3950D0 AFR110D  F-GUGQ   A318 22000 22000 17/01/2015 06:52:05
400D89 BAW236   G-MEDL   A321 37975 31775 17/01/2015 06:52:18
484EE5 TRA581V  PH-HSE   B738 10325 39000 17/01/2015 06:52:22
4B1A59 EZS64LR  HB-JZL   A319 18275 250   17/01/2015 06:53:48
3950CB AFR061E  F-GUGL   A318 38000 25450 17/01/2015 06:53:52
4B1A38 EZS16BY  HB-JYE   A320 32025 8475  17/01/2015 06:54:44
A0F4F6 -------- N16065   B763 ----- ----- 17/01/2015 06:54:49
484F6C TRA61F   PH-HSF   B738 10400 39000 17/01/2015 06:55:46
44CDC1 BEL8VJ   OO-SNA   A320 975   19000 17/01/2015 06:56:14
896352 SEY008   A6-EYZ   A332 29075 26075 17/01/2015 06:56:16
8961A3 ETD57    A6-EYN   A332 5325  0     17/01/2015 06:56:46
47878C NAX3406  LN-DYY   B738 36000 36000 17/01/2015 06:56:57
49528D TAP573J  CS-TTM   A319 39000 39000 17/01/2015 06:57:02
4951CC TAP669L  CS-TNL   A320 10600 37000 17/01/2015 06:58:15
89617F UAE21    A6-EGG   B77W 36000 36000 17/01/2015 06:58:21
3C5424 BCS926   D-AEAD   A306 675   17025 17/01/2015 06:58:30
3C4B29 DLH431   D-ABYI   B748 37000 28625 17/01/2015 07:00:08
473411 WZZ1     HA-LPR   A320 36025 25425 17/01/2015 07:00:21
484F6D TRA6845  PH-HSG   B738 9500  33200 17/01/2015 07:00:31
3C5EE2 GWI6G    D-AGWB   A319 26700 37000 17/01/2015 07:00:31
4CAA7B AZA27S   EI-RDL   E170 300   20450 17/01/2015 07:00:55
48AE05 LOT6538  SP-LRF   B788 40975 41000 17/01/2015 07:01:32
3C612C GMI7810  D-AHIL   A319 34975 35000 17/01/2015 07:01:43
4840E7 KLM1721  PH-KZK   F70  11900 350   17/01/2015 07:02:47
471F5F WZZ1660  HA-LWX   A320 38000 31975 17/01/2015 07:02:59
3C49C2 -------- D-ABNB   A320 34325 34800 17/01/2015 07:03:18
3C7201 BER7435  D-ALPA   A332 39000 39000 17/01/2015 07:05:42
88801C HVN51    VN-A145  B772 37975 28975 17/01/2015 07:05:48
4CA61D RYR51YF  EI-DWP   B738 27475 27250 17/01/2015 07:06:39
3986EF -------- F-HBXP   E170 36000 34725 17/01/2015 07:06:54
3C4AD3 DLH471   D-ABVS   B744 38975 34800 17/01/2015 07:07:27
4841D9 TRA751Z  PH-XRX   B737 8800  38050 17/01/2015 07:07:41
484C50 KLM1314  PH-EZL   E190 31950 22050 17/01/2015 07:08:44
4619CB JTG901   OH-JTZ   B737 38000 38975 17/01/2015 07:09:08
4CA2A7 RYR800G  EI-DHS   B738 33000 34875 17/01/2015 07:09:20
3986E6 -------- F-HBXG   E170 36000 25600 17/01/2015 07:09:55
4CA570 RYR92YD  EI-DWK   B738 30825 25675 17/01/2015 07:10:07
76CEE8 SIA328   9V-SWH   B77W 38000 38000 17/01/2015 07:10:16
4B178D SWR771   HB-IXX   RJ1H 350   14400 17/01/2015 07:10:22
484B31 -------- PH-EZD   E190 15800 28650 17/01/2015 07:10:56
484558 KLM49W   PH-BGA   B738 11650 38225 17/01/2015 07:12:34
40058B BAW72    G-ZZZB   B772 40000 33225 17/01/2015 07:12:34
40068F BAW142   G-CIVN   B744 36000 36000 17/01/2015 07:13:11
A2A915 UAL44    N27015   B772 23000 375   17/01/2015 07:13:23
4844C6 KLM23P   PH-BXV   B738 9225  26900 17/01/2015 07:13:32
471F58 WZZ1FK   HA-LWQ   A320 35975 26300 17/01/2015 07:14:03
48AD09 -------- SP-LIK   E170 12850 25075 17/01/2015 07:14:13
478740 NAX2486  LN-DYL   B738 32800 38975 17/01/2015 07:14:27
888012 -------- VN-A141  B772 30225 29100 17/01/2015 07:14:55
3C6DCA GWI19H   D-AKNJ   A319 25175 29100 17/01/2015 07:15:29
3C4DCA GWI5T    D-ACNJ   CRJ9 29175 24000 17/01/2015 07:15:32
4CA52B AFR1911  EI-RJE   RJ85 30025 29725 17/01/2015 07:15:50
3944C6 HOP3570  F-GRGG   E145 24000 8150  17/01/2015 07:16:01
484C52 KLM1351  PH-EZN   E190 15150 10150 17/01/2015 07:16:06
3C5EE1 GWI3374  D-AGWA   A319 38000 26700 17/01/2015 07:16:09
8960F7 UAE7     A6-EDV   A388 39975 33975 17/01/2015 07:16:30
4B18F2 SWR737   HB-JLQ   A320 9825  38025 17/01/2015 07:16:38
48403D -------- PH-BFI   B744 20000 19975 17/01/2015 07:16:42
40609A CFE4450  G-LCYD   E170 6575  18000 17/01/2015 07:17:23
47340F WZZ32P   HA-LPO   A320 36000 26100 17/01/2015 07:18:36
471F4E WZZ286   HA-LWG   A320 17825 4000  17/01/2015 07:18:55
3C4DD2 -------- D-ACNR   CRJ9 29050 24000 17/01/2015 07:18:58
8963CD ETD11    A6-APA   A388 40000 33700 17/01/2015 07:19:05
471F57 WZZ905   HA-LWP   A320 36000 36000 17/01/2015 07:19:27
4B17A6 -------- HB-IYW   RJ1H ----- ----- 17/01/2015 07:19:31
471EA4 WZZ1GD   HA-LPS   A320 36050 26050 17/01/2015 07:20:08
485061 TRA6901  PH-HSJ   B738 11150 22825 17/01/2015 07:20:31
4841D5 TRA131R  PH-XRB   B737 9050  39000 17/01/2015 07:20:45
44A824 JAF051   OO-JAD   B738 400   10300 17/01/2015 07:21:19
3C5462 DLH975   D-AECB   E190 39000 34325 17/01/2015 07:21:40
4CA2A9 RYR3631  EI-DHV   B738 34475 26525 17/01/2015 07:21:41
76CEEF SIA306   9V-SWO   B77W 36000 31700 17/01/2015 07:22:14
405B65 EZY5342  G-EZDL   A319 38000 29000 17/01/2015 07:22:41
060029 3BPGF    3B-PGF   GLF4 21275 475   17/01/2015 07:22:44
44CE65 BEL1WS   OO-SSE   A319 350   33050 17/01/2015 07:22:45
4843D9 TRA651U  PH-XRV   B737 4800  37000 17/01/2015 07:23:02
4063E6 VIR355   G-VSXY   A333 40000 32275 17/01/2015 07:23:32
400CCF EZY48MB  G-EZIO   A319 8825  23150 17/01/2015 07:24:33
44D262 TAY051   OO-TSB   B77L 10450 11225 17/01/2015 07:24:43
3C675A DLH3UP   D-AIZZ   A320 36225 37300 17/01/2015 07:25:21
44CE64 BEL6DR   OO-SSD   A319 775   18900 17/01/2015 07:25:47
4CA6FF RYR714Y  EI-EBB   B738 33000 36175 17/01/2015 07:26:30
4841D8 TRA5B    PH-XRY   B737 7975  33375 17/01/2015 07:26:47
3C6630 GWI5102  D-AIQP   A320 22550 32775 17/01/2015 07:26:50
471EAB WZZ18CE  HA-LPZ   A320 36025 25350 17/01/2015 07:27:23
400A30 TCX87GR  G-TCDA   A321 27950 33050 17/01/2015 07:27:37
A37249 N321CR   N321CR   PA46 1000  20100 17/01/2015 07:27:56
484B30 KLM47B   PH-EZC   E190 14000 23775 17/01/2015 07:28:55
A14FE0 DAL80    N184DN   B763 23000 350   17/01/2015 07:28:59
3C6446 -------- D-AIBF   A319 27575 25375 17/01/2015 07:29:17
48418D KLM1662  PH-BXS   B739 34625 7200  17/01/2015 07:29:51
4CA96F RYR39WE  EI-ESP   B738 36000 27750 17/01/2015 07:30:46
3C65A4 DLH441   D-AIMD   A388 39000 35000 17/01/2015 07:30:54
405633 EZY89UD  G-EZDD   A319 32000 37000 17/01/2015 07:31:20
4841DB TRA711A  PH-XRD   B737 7475  32950 17/01/2015 07:31:33
484161 KLM22J   PH-BXH   B738 33300 8675  17/01/2015 07:31:35
3C49E8 CFG9AP   D-ABOH   B753 20000 30725 17/01/2015 07:31:52
398569 -------- F-HBLJ   E190 ----- ----- 17/01/2015 07:31:54
44A82F JAF8GL   OO-JAO   B737 10700 25000 17/01/2015 07:32:14
47853A NAX6HM   LN-NOJ   B738 36000 37000 17/01/2015 07:32:51
4CA706 RYR5173  EI-EBI   B738 34000 29950 17/01/2015 07:33:09
4841A4 KLM1277  PH-KZN   F70  10625 29725 17/01/2015 07:33:10
484D10 TFL079P  PH-OYI   B763 12925 41000 17/01/2015 07:34:07
3C74EC HOP8223  D-AMGL   B462 21900 22000 17/01/2015 07:34:32
C0583F ACA832   C-GHKW   A333 32725 175   17/01/2015 07:34:49
4CA648 RYR2145  EI-DYF   B738 38000 27000 17/01/2015 07:35:01
3C09DD GMI6478  D-ASTC   A319 31200 37000 17/01/2015 07:35:11
440052 AUA458R  OE-LBS   A320 30850 36950 17/01/2015 07:35:26
405A47 BAW935   G-EUUY   A320 22675 27975 17/01/2015 07:35:55
4AC8D5 BLX295   SE-RFU   B738 33975 35000 17/01/2015 07:36:02
3C4DC2 GWI72N   D-ACNB   CRJ9 24000 24000 17/01/2015 07:36:15
